model,parameters,conv_linear_MACs,conv_linear_arithmetic_FLOPs,total_model_FLOPs,latency_ms,latency_seed_n,relative_latency_vs_A,parameter_increase_vs_A,conv_linear_compute_increase_vs_A
A-T0,11173962,555422720,1110845440,,0.05925024253316224,5,1.0,0.0,0.0
B-T3,11700298,580588544,1161177088,,0.06426269080257044,3,1.084597936735917,0.0471037936230676,0.04530931683889339
C-T1,11442762,559690752,1119381504,,0.061131647787988186,3,1.031753545207396,0.024055925731625072,0.007684294945658587
C-T3,11442762,568226816,1136453632,,0.06368307956727222,4,1.074815508672879,0.024055925731625072,0.023052884836975984
D1-T3,11442762,568242176,1136484352,,0.06529876701533795,5,1.1020843835160736,0.024055925731625072,0.02308053944930455
