comparison,n,mean,std,ci95,median,minimum,maximum,individual_differences,paired_t_test,positive_seeds,negative_seeds,zero_seeds,standardized_paired_effect
C-T1-C-T3,3,-0.2666666666666632,0.11015141094572066,"[-0.5402979405960451, 0.006964607262718636]",-0.26000000000000467,-0.37999999999999146,-0.15999999999999348,"[{""seed"": 1, ""difference_pp"": -0.15999999999999348}, {""seed"": 2, ""difference_pp"": -0.26000000000000467}, {""seed"": 3, ""difference_pp"": -0.37999999999999146}]","{""statistic"": -4.193139346887671, ""pvalue"": 0.05244126064173145, ""reason"": null}",0,3,0,-2.4209101306752085
C-T2-C-T3,3,-0.10333333333332935,0.17039170558843125,"[-0.5266097949497655, 0.3199431282831068]",-0.08999999999999009,-0.28000000000000247,0.060000000000004494,"[{""seed"": 1, ""difference_pp"": -0.28000000000000247}, {""seed"": 2, ""difference_pp"": 0.060000000000004494}, {""seed"": 3, ""difference_pp"": -0.08999999999999009}]","{""statistic"": -1.0503949287360665, ""pvalue"": 0.4037358877125877, ""reason"": null}",1,2,0,-0.6064457948611858
C-T5-C-T3,0,,,,,,,[],"{""statistic"": null, ""pvalue"": null, ""reason"": ""insufficient pairs or zero variance""}",0,0,0,
D1-T1-D1-T3,3,0.06666666666666303,0.0850490054811499,"[-0.14460677519330378, 0.2779401085266298]",0.06999999999999229,-0.019999999999997797,0.14999999999999458,"[{""seed"": 1, ""difference_pp"": -0.019999999999997797}, {""seed"": 2, ""difference_pp"": 0.06999999999999229}, {""seed"": 3, ""difference_pp"": 0.14999999999999458}]","{""statistic"": 1.3576884666042501, ""pvalue"": 0.3074566389355593, ""reason"": null}",2,1,0,0.783861801669614
D1-T2-D1-T3,3,0.16333333333333014,0.09073771725877731,"[-0.06207165198454409, 0.38873831865120434]",0.20000000000000018,0.05999999999999339,0.22999999999999687,"[{""seed"": 1, ""difference_pp"": 0.20000000000000018}, {""seed"": 2, ""difference_pp"": 0.22999999999999687}, {""seed"": 3, ""difference_pp"": 0.05999999999999339}]","{""statistic"": 3.117795338581159, ""pvalue"": 0.08930742443742982, ""reason"": null}",3,0,0,1.8000599780079924
D1-T5-D1-T3,3,-3.0366666666666693,4.6680009997142555,"[-14.632623988401392, 8.559290655068054]",-0.8200000000000096,-8.399999999999997,0.10999999999999899,"[{""seed"": 1, ""difference_pp"": -8.399999999999997}, {""seed"": 2, ""difference_pp"": 0.10999999999999899}, {""seed"": 3, ""difference_pp"": -0.8200000000000096}]","{""statistic"": -1.12674803468111, ""pvalue"": 0.3768650962152781, ""reason"": null}",1,2,0,-0.6505282811320208
