comparison,n,mean,std,ci95,median,minimum,maximum,individual_differences,paired_t_test,positive_seeds,negative_seeds,zero_seeds,standardized_paired_effect
D1-A,5,0.5462105263157913,0.8939817277997839,"[-0.5638144001451997, 1.6562354527767822]",0.7173684210526332,-0.594210526315786,1.8005263157894746,"[{""seed"": 1, ""difference_pp"": 0.7593684210526308}, {""seed"": 2, ""difference_pp"": -0.594210526315786}, {""seed"": 3, ""difference_pp"": 0.7173684210526332}, {""seed"": 4, ""difference_pp"": 1.8005263157894746}, {""seed"": 5, ""difference_pp"": 0.048000000000003595}]","{""statistic"": 1.3662067454935538, ""pvalue"": 0.24364062484800514, ""reason"": null}",4,1,0,0.6109862308484683
C-A,4,-0.1994210526315765,1.1999417976036135,"[-2.1087962228014647, 1.7099541175383117]",-0.015947368421048713,-1.5806315789473668,0.8148421052631583,"[{""seed"": 1, ""difference_pp"": 0.7951578947368421}, {""seed"": 2, ""difference_pp"": -1.5806315789473668}, {""seed"": 3, ""difference_pp"": 0.8148421052631583}, {""seed"": 5, ""difference_pp"": -0.8270526315789395}]","{""statistic"": -0.3323845423667005, ""pvalue"": 0.7614690394022642, ""reason"": null}",2,2,0,-0.16619227118335023
D1-C,4,0.4320526315789469,0.5781717451965931,"[-0.4879476355813791, 1.3520528987392728]",0.4196315789473659,-0.09747368421052505,0.9864210526315809,"[{""seed"": 1, ""difference_pp"": -0.03578947368421126}, {""seed"": 2, ""difference_pp"": 0.9864210526315809}, {""seed"": 3, ""difference_pp"": -0.09747368421052505}, {""seed"": 5, ""difference_pp"": 0.8750526315789431}]","{""statistic"": 1.4945477193183767, ""pvalue"": 0.23189668513648537, ""reason"": null}",2,2,0,0.7472738596591884
