model,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
C,fog,"{""n"": 4, ""mean"": 0.8838900000000001, ""std"": 0.008135625360106006, ""ci95"": [0.8709444045657769, 0.8968355954342232], ""median"": 0.8868100000000001, ""minimum"": 0.872, ""maximum"": 0.88994}","{""n"": 4, ""mean"": 0.47770222301855686, ""std"": 0.04367009175637441, ""ci95"": [0.4082133619378076, 0.5471910840993061], ""median"": 0.4683525051394105, ""minimum"": 0.4352865136408806, ""maximum"": 0.5388173681545257}","{""n"": 4, ""mean"": 0.07254116321898997, ""std"": 0.007246763854633805, ""ci95"": [0.061009944791766524, 0.08407238164621342], ""median"": 0.07030415354251862, ""minimum"": 0.06658502985268831, ""maximum"": 0.08297131593823433}","{""n"": 4, ""mean"": 0.18807414176534862, ""std"": 0.014384543870368013, ""ci95"": [0.16518512251862258, 0.21096316101207466], ""median"": 0.18352405885361134, ""minimum"": 0.17632819072246553, ""maximum"": 0.20892025863170624}","{""n"": 4, ""mean"": 0.13522589044398955, ""std"": 0.003303721176649217, ""ci95"": [0.12996893281783123, 0.14048284807014788], ""median"": 0.13503215873474123, ""minimum"": 0.13179885431107483, ""maximum"": 0.13904038999540091}","{""n"": 4, ""mean"": 0.13539666271917553, ""std"": 0.002908301312141781, ""ci95"": [0.13076890633643604, 0.14002441910191502], ""median"": 0.13497304148413503, ""minimum"": 0.13265249114332198, ""maximum"": 0.13898807676511002}","{""n"": 4, ""mean"": 0.008465, ""std"": 0.0005004997502496952, ""ci95"": [0.007668593209511081, 0.00926140679048892], ""median"": 0.008309999999999994, ""minimum"": 0.008079999999999999, ""maximum"": 0.009160000000000012}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07189398657760201, ""std"": 0.001143045085441944, ""ci95"": [0.07007514677313299, 0.07371282638207104], ""median"": 0.0719378287022539, ""minimum"": 0.07047379060984703, ""maximum"": 0.07322649829605322}"
C,frost,"{""n"": 4, ""mean"": 0.78957, ""std"": 0.007563500071615879, ""ci95"": [0.7775347835710343, 0.8016052164289657], ""median"": 0.79255, ""minimum"": 0.77852, ""maximum"": 0.79466}","{""n"": 4, ""mean"": 0.9204708644914628, ""std"": 0.04834764207692794, ""ci95"": [0.8435389770430001, 0.9974027519399254], ""median"": 0.8981259672784805, ""minimum"": 0.8928695327472687, ""maximum"": 0.9927619906616211}","{""n"": 4, ""mean"": 0.13326003791436553, ""std"": 0.007582010644011049, ""ci95"": [0.12119536703403606, 0.14532470879469497], ""median"": 0.130293617695719, ""minimum"": 0.128109486694932, ""maximum"": 0.14434342957109214}","{""n"": 4, ""mean"": 0.3379036616945267, ""std"": 0.013886031523802965, ""ci95"": [0.3158078868355329, 0.35999943655352046], ""median"": 0.3318913091897964, ""minimum"": 0.329390227804184, ""maximum"": 0.35844180059432984}","{""n"": 4, ""mean"": 0.23280600618935293, ""std"": 0.0020780863187160547, ""ci95"": [0.2294993071258231, 0.23611270525288278], ""median"": 0.2320382427621854, ""minimum"": 0.23131762768281622, ""maximum"": 0.23582991155022465}","{""n"": 4, ""mean"": 0.23404416333982517, ""std"": 0.0011431412927116193, ""ci95"": [0.2322251704481212, 0.23586315623152915], ""median"": 0.2338877025106098, ""minimum"": 0.23281837548309764, ""maximum"": 0.23558287285498342}","{""n"": 4, ""mean"": 0.013515000000000004, ""std"": 0.0004073900669710283, ""ci95"": [0.012866751493279276, 0.014163248506720733], ""median"": 0.013380000000000026, ""minimum"": 0.01319999999999999, ""maximum"": 0.014099999999999979}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.0733236213300775, ""std"": 0.0009167117813948524, ""ci95"": [0.0718649283192222, 0.0747823143409328], ""median"": 0.07349851839632787, ""minimum"": 0.0721139691210534, ""maximum"": 0.07418347940660087}"
C,gaussian_blur,"{""n"": 4, ""mean"": 0.73746, ""std"": 0.0038932077605320524, ""ci95"": [0.7312650376733953, 0.7436549623266047], ""median"": 0.73695, ""minimum"": 0.73332, ""maximum"": 0.7426200000000001}","{""n"": 4, ""mean"": 1.1088415478420257, ""std"": 0.054672401914838215, ""ci95"": [1.0218455561045792, 1.1958375395794723], ""median"": 1.12277219489336, ""minimum"": 1.031249172449112, ""maximum"": 1.1585726291322709}","{""n"": 4, ""mean"": 0.16909569457717238, ""std"": 0.01113121402314793, ""ci95"": [0.15138344910652463, 0.18680794004782014], ""median"": 0.17057784470409154, ""minimum"": 0.15424561917126178, ""maximum"": 0.1809814697292447}","{""n"": 4, ""mean"": 0.4187660259613395, ""std"": 0.010663834216879699, ""ci95"": [0.40179748605950316, 0.4357345658631758], ""median"": 0.4201776325500012, ""minimum"": 0.40493109847068787, ""maximum"": 0.42977774027466775}","{""n"": 4, ""mean"": 0.28366931679296414, ""std"": 0.03476967620190002, ""ci95"": [0.2283430030106307, 0.3389956305752976], ""median"": 0.2772708185205236, ""minimum"": 0.2522888238658832, ""maximum"": 0.3278468062649263}","{""n"": 4, ""mean"": 0.27863630602611084, ""std"": 0.03363440052770936, ""ci95"": [0.225116469181181, 0.33215614287104067], ""median"": 0.27278592529794027, ""minimum"": 0.2481700091418647, ""maximum"": 0.3208033643666981}","{""n"": 4, ""mean"": 0.018319999999999996, ""std"": 0.0018267639876750916, ""ci95"": [0.015413210848398525, 0.021226789151601467], ""median"": 0.017640000000000003, ""minimum"": 0.016980000000000016, ""maximum"": 0.021019999999999973}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07677648834609078, ""std"": 0.0019059045604621007, ""ci95"": [0.07374376888275727, 0.0798092078094243], ""median"": 0.0764797265963728, ""minimum"": 0.07479060655475432, ""maximum"": 0.07935589363686321}"
C,gaussian_noise,"{""n"": 4, ""mean"": 0.44956, ""std"": 0.04122775763972618, ""ci95"": [0.3839574375121492, 0.5151625624878509], ""median"": 0.46146, ""minimum"": 0.39188, ""maximum"": 0.48344000000000004}","{""n"": 4, ""mean"": 3.0461917439746857, ""std"": 0.4598235672755735, ""ci95"": [2.3145098375952964, 3.777873650354075], ""median"": 2.900480075826645, ""minimum"": 2.6825576522254946, ""maximum"": 3.7012491720199585}","{""n"": 4, ""mean"": 0.4273613320846111, ""std"": 0.05447280052878312, ""ci95"": [0.3406829506939548, 0.5140397134752673], ""median"": 0.40944347795560954, ""minimum"": 0.3858672790196538, ""maximum"": 0.5046910934075713}","{""n"": 4, ""mean"": 0.9392669953644275, ""std"": 0.09680746678458202, ""ci95"": [0.7852247128681664, 1.0933092778606885], ""median"": 0.9044070653963089, ""minimum"": 0.8711293899869919, ""maximum"": 1.0771244606781005}","{""n"": 4, ""mean"": 0.35693708391211215, ""std"": 0.041041696438980424, ""ci95"": [0.2916305863146964, 0.4222435815095279], ""median"": 0.35904775484346696, ""minimum"": 0.3047034855389164, ""maximum"": 0.40494934042259817}","{""n"": 4, ""mean"": 0.3623804259499109, ""std"": 0.03990116283603106, ""ci95"": [0.2988887718278745, 0.42587208007194727], ""median"": 0.36311847412105624, ""minimum"": 0.31278515623677117, ""maximum"": 0.41049959932075986}","{""n"": 4, ""mean"": 0.020365, ""std"": 0.005887917005755676, ""ci95"": [0.010996010139606237, 0.029733989860393766], ""median"": 0.02016, ""minimum"": 0.014339999999999974, ""maximum"": 0.026800000000000025}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07468063450162857, ""std"": 0.0016308597352910302, ""ci95"": [0.07208557273212167, 0.07727569627113547], ""median"": 0.07487740964855152, ""minimum"": 0.0725209671822831, ""maximum"": 0.07644675152712811}"
C,glass_blur,"{""n"": 4, ""mean"": 0.5598350000000001, ""std"": 0.013599778184465606, ""ci95"": [0.5381947180820811, 0.5814752819179191], ""median"": 0.55958, ""minimum"": 0.54344, ""maximum"": 0.57674}","{""n"": 4, ""mean"": 2.0094330822563173, ""std"": 0.10436026642984654, ""ci95"": [1.843372610097244, 2.1754935544153904], ""median"": 1.9937995324897768, ""minimum"": 1.8991950717544555, ""maximum"": 2.15093819229126}","{""n"": 4, ""mean"": 0.29232478010080754, ""std"": 0.016233457185532867, ""ci95"": [0.2664937271797629, 0.3181558330218522], ""median"": 0.2943896715205908, ""minimum"": 0.2706019979560375, ""maximum"": 0.3099177794060111}","{""n"": 4, ""mean"": 0.7058248447704315, ""std"": 0.02541663761274253, ""ci95"": [0.6653813025387207, 0.7462683870021423], ""median"": 0.7068093309640884, ""minimum"": 0.6737430247020721, ""maximum"": 0.7359376924514771}","{""n"": 4, ""mean"": 0.4405142984092332, ""std"": 0.010332457604476403, ""ci95"": [0.42407305264529704, 0.4569555441731693], ""median"": 0.43664961151202963, ""minimum"": 0.4332095555064152, ""maximum"": 0.4555484151064581}","{""n"": 4, ""mean"": 0.43592101948758966, ""std"": 0.009397926280775458, ""ci95"": [0.4209668216027958, 0.4508752173723835], ""median"": 0.4330949258987664, ""minimum"": 0.428772394991006, ""maximum"": 0.44872183116181985}","{""n"": 4, ""mean"": 0.026985, ""std"": 0.0034007597190431845, ""ci95"": [0.021573632398485733, 0.032396367601514264], ""median"": 0.028229999999999988, ""minimum"": 0.022, ""maximum"": 0.029480000000000017}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07765371570188409, ""std"": 0.0008234707661569755, ""ci95"": [0.07634338995325116, 0.07896404145051703], ""median"": 0.07779932096204178, ""minimum"": 0.0765736393081946, ""maximum"": 0.07844258157525821}"
C,impulse_noise,"{""n"": 4, ""mean"": 0.538015, ""std"": 0.029968011278695115, ""ci95"": [0.4903292066146998, 0.5857007933853002], ""median"": 0.5380100000000001, ""minimum"": 0.50238, ""maximum"": 0.57366}","{""n"": 4, ""mean"": 2.2040045078349113, ""std"": 0.26530472872358446, ""ci95"": [1.781845480984504, 2.6261635346853187], ""median"": 2.136488029985428, ""minimum"": 1.9614278735733033, ""maximum"": 2.5816140977954865}","{""n"": 4, ""mean"": 0.31330307411402464, ""std"": 0.032501882685680335, ""ci95"": [0.2615853258801117, 0.3650208223479376], ""median"": 0.30500999262109396, ""minimum"": 0.28387570940196516, ""maximum"": 0.3593166018119454}","{""n"": 4, ""mean"": 0.7406900874447823, ""std"": 0.06112025089847558, ""ci95"": [0.6434341291198319, 0.8379460457697326], ""median"": 0.7304035655641556, ""minimum"": 0.6782583406877518, ""maximum"": 0.8236948779630662}","{""n"": 4, ""mean"": 0.43951177433392863, ""std"": 0.028506786089727527, ""ci95"": [0.39415111630053756, 0.4848724323673197], ""median"": 0.43791489658822713, ""minimum"": 0.4099434561223543, ""maximum"": 0.472273848036906}","{""n"": 4, ""mean"": 0.4323421146446561, ""std"": 0.03375590623247973, ""ci95"": [0.37862893510911755, 0.48605529418019466], ""median"": 0.43253309181249905, ""minimum"": 0.39556417202718264, ""maximum"": 0.4687381029264437}","{""n"": 4, ""mean"": 0.028750000000000005, ""std"": 0.0024391528584052947, ""ci95"": [0.024868763498872265, 0.032631236501127744], ""median"": 0.028730000000000012, ""minimum"": 0.025819999999999975, ""maximum"": 0.03172000000000001}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.075843629334983, ""std"": 0.000896078696378063, ""ci95"": [0.07441776816671684, 0.07726949050324915], ""median"": 0.07586196547632851, ""minimum"": 0.0747506166837237, ""maximum"": 0.07689996970355126}"
C,jpeg_compression,"{""n"": 4, ""mean"": 0.795125, ""std"": 0.004734592555507459, ""ci95"": [0.7875912067073494, 0.8026587932926506], ""median"": 0.79628, ""minimum"": 0.78858, ""maximum"": 0.79936}","{""n"": 4, ""mean"": 0.8319863527536393, ""std"": 0.025977160976643435, ""ci95"": [0.7906508927676926, 0.873321812739586], ""median"": 0.8283338028335572, ""minimum"": 0.8043506755638123, ""maximum"": 0.8669271297836304}","{""n"": 4, ""mean"": 0.12502968213938176, ""std"": 0.004994911322548341, ""ci95"": [0.11708166359754851, 0.132977700681215], ""median"": 0.12464666999980807, ""minimum"": 0.1193200733795762, ""maximum"": 0.13150531517833472}","{""n"": 4, ""mean"": 0.32718814713954925, ""std"": 0.007727775308775182, ""ci95"": [0.31489153214980997, 0.3394847621292885], ""median"": 0.3252273394918442, ""minimum"": 0.3201624361896515, ""maximum"": 0.33813547338485717}","{""n"": 4, ""mean"": 0.2422072785689845, ""std"": 0.0058037266821886055, ""ci95"": [0.23297225430067908, 0.2514423028372899], ""median"": 0.24253080327460222, ""minimum"": 0.23489983816724447, ""maximum"": 0.24886766955948902}","{""n"": 4, ""mean"": 0.24194976793244188, ""std"": 0.005538426462474763, ""ci95"": [0.2331368955161462, 0.2507626403487376], ""median"": 0.24240214245459793, ""minimum"": 0.23481319056525127, ""maximum"": 0.24818159625532046}","{""n"": 4, ""mean"": 0.015970000000000005, ""std"": 0.0006049793384901533, ""ci95"": [0.015007342869724351, 0.01693265713027566], ""median"": 0.015720000000000012, ""minimum"": 0.015580000000000016, ""maximum"": 0.016859999999999986}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07458269195346864, ""std"": 0.001122912899439064, ""ci95"": [0.0727958869494807, 0.07636949695745658], ""median"": 0.07443127013462243, ""minimum"": 0.07341542173519965, ""maximum"": 0.07605280580943007}"
C,motion_blur,"{""n"": 4, ""mean"": 0.78305, ""std"": 0.01074644127141636, ""ci95"": [0.7659500138404134, 0.8001499861595867], ""median"": 0.78601, ""minimum"": 0.76782, ""maximum"": 0.7923600000000001}","{""n"": 4, ""mean"": 0.9050287277579308, ""std"": 0.06819318246493829, ""ci95"": [0.7965181569673715, 1.01353929854849], ""median"": 0.9008961365222932, ""minimum"": 0.8263670216178894, ""maximum"": 0.9919556163692475}","{""n"": 4, ""mean"": 0.13938408316731454, ""std"": 0.010422611916444722, ""ci95"": [0.12279938177486392, 0.15596878455976515], ""median"": 0.13875823953464628, ""minimum"": 0.1275954931050539, ""maximum"": 0.15242436049491168}","{""n"": 4, ""mean"": 0.3499725089156628, ""std"": 0.018782092311699073, ""ci95"": [0.32008600877422544, 0.3798590090571001], ""median"": 0.34692215980768204, ""minimum"": 0.3305985563516617, ""maximum"": 0.3754471596956253}","{""n"": 4, ""mean"": 0.2364450745194027, ""std"": 0.008443741537784521, ""ci95"": [0.2230091974895539, 0.2498809515492515], ""median"": 0.2362970531633694, ""minimum"": 0.2272739383220172, ""maximum"": 0.24591225342885475}","{""n"": 4, ""mean"": 0.23592350674918264, ""std"": 0.00822799576128585, ""ci95"": [0.22283092939398327, 0.249016084104382], ""median"": 0.2359148135461261, ""minimum"": 0.2268836007780634, ""maximum"": 0.24498079912641493}","{""n"": 4, ""mean"": 0.015125, ""std"": 0.0013566994263039074, ""ci95"": [0.012966188461688925, 0.017283811538311072], ""median"": 0.015160000000000007, ""minimum"": 0.013499999999999979, ""maximum"": 0.016680000000000007}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07520292319150487, ""std"": 0.0014501782559834303, ""ci95"": [0.07289536597512584, 0.0775104804078839], ""median"": 0.07523938630149477, ""minimum"": 0.07339970688599391, ""maximum"": 0.07693321327703606}"
C,pixelate,"{""n"": 4, ""mean"": 0.760025, ""std"": 0.007920932184198174, ""ci95"": [0.7474210293179956, 0.7726289706820043], ""median"": 0.7612699999999999, ""minimum"": 0.74924, ""maximum"": 0.76832}","{""n"": 4, ""mean"": 1.1232527630901337, ""std"": 0.05116067326456436, ""ci95"": [1.0418447152867996, 1.2046608108934678], ""median"": 1.1265097747278214, ""minimum"": 1.0601154446220398, ""maximum"": 1.1798760582828522}","{""n"": 4, ""mean"": 0.16226270370848478, ""std"": 0.00563316111978989, ""ci95"": [0.15329908731211164, 0.17122632010485792], ""median"": 0.16201982770860196, ""minimum"": 0.1556744749739766, ""maximum"": 0.16933668444275857}","{""n"": 4, ""mean"": 0.3909845300149918, ""std"": 0.01244448835358343, ""ci95"": [0.37118257202398447, 0.4107864880059991], ""median"": 0.3902684064793587, ""minimum"": 0.3765135978126526, ""maximum"": 0.40688770928859713}","{""n"": 4, ""mean"": 0.2339235884188723, ""std"": 0.008067413773246426, ""ci95"": [0.22108653284093857, 0.24676064399680606], ""median"": 0.23198244191684453, ""minimum"": 0.22705690820809687, ""maximum"": 0.2446725616337033}","{""n"": 4, ""mean"": 0.23406188797592833, ""std"": 0.007903531562863199, ""ci95"": [0.22148560556546257, 0.2466381703863941], ""median"": 0.23162231857283377, ""minimum"": 0.22805147543539117, ""maximum"": 0.24495143932265462}","{""n"": 4, ""mean"": 0.014904999999999996, ""std"": 0.0007720751258783064, ""ci95"": [0.013676456184123347, 0.016133543815876644], ""median"": 0.015000000000000003, ""minimum"": 0.014059999999999984, ""maximum"": 0.015559999999999996}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07276561704642236, ""std"": 0.000968920146916621, ""ci95"": [0.07122384887558722, 0.0743073852172575], ""median"": 0.07255666646273251, ""minimum"": 0.07186686943383484, ""maximum"": 0.07408226582638955}"
C,saturate,"{""n"": 4, ""mean"": 0.92152, ""std"": 0.0017697457444503205, ""ci95"": [0.9187039395971408, 0.9243360604028592], ""median"": 0.92144, ""minimum"": 0.91966, ""maximum"": 0.92354}","{""n"": 4, ""mean"": 0.31421781241998076, ""std"": 0.01089410050011968, ""ci95"": [0.2968828674769801, 0.3315527573629814], ""median"": 0.31473324120461943, ""minimum"": 0.3028532503604889, ""maximum"": 0.32455151691019535}","{""n"": 4, ""mean"": 0.045511902119517327, ""std"": 0.00187850828111348, ""ci95"": [0.042522776250179584, 0.04850102798885507], ""median"": 0.04550845354318619, ""minimum"": 0.043581315538585186, ""maximum"": 0.047449385853111745}","{""n"": 4, ""mean"": 0.1267598766601179, ""std"": 0.0032231156273730193, ""ci95"": [0.12163118045019929, 0.13188857287003652], ""median"": 0.1268309663099423, ""minimum"": 0.12336754831671715, ""maximum"": 0.13001002570386977}","{""n"": 4, ""mean"": 0.10398348044590494, ""std"": 0.0028614104281533504, ""ci95"": [0.0994303379234157, 0.10853662296839418], ""median"": 0.10304021830320213, ""minimum"": 0.10168960252899852, ""maximum"": 0.10816388264821697}","{""n"": 4, ""mean"": 0.10423706900328791, ""std"": 0.0027475504535082284, ""ci95"": [0.09986510310861323, 0.1086090348979626], ""median"": 0.10345933752629644, ""minimum"": 0.10184242065765167, ""maximum"": 0.10818718030290707}","{""n"": 4, ""mean"": 0.006774999999999998, ""std"": 0.0003641885958309807, ""ci95"": [0.006195494674385514, 0.007354505325614482], ""median"": 0.006609999999999982, ""minimum"": 0.00656000000000001, ""maximum"": 0.007320000000000016}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.0704339643263148, ""std"": 0.0010314095065404748, ""ci95"": [0.0687927616396524, 0.0720751670129772], ""median"": 0.07046715378748987, ""minimum"": 0.06914293790741682, ""maximum"": 0.07165861182286264}"
C,shot_noise,"{""n"": 4, ""mean"": 0.58133, ""std"": 0.036732185705000836, ""ci95"": [0.5228808956590524, 0.6397791043409476], ""median"": 0.59127, ""minimum"": 0.52982, ""maximum"": 0.61296}","{""n"": 4, ""mean"": 2.152689368456304, ""std"": 0.3305412606405158, ""ci95"": [1.6267244616215981, 2.6786542752910103], ""median"": 2.0352986901539563, ""minimum"": 1.9143131211090088, ""maximum"": 2.6258469724082945}","{""n"": 4, ""mean"": 0.30811252328410743, ""std"": 0.04449748797949374, ""ci95"": [0.23730709017672205, 0.37891795639149284], ""median"": 0.2926316612716019, ""minimum"": 0.27554665624558927, ""maximum"": 0.37164011434763666}","{""n"": 4, ""mean"": 0.6995051233865321, ""std"": 0.07960161184890452, ""ci95"": [0.5728411956249231, 0.8261690511481412], ""median"": 0.6719401959732175, ""minimum"": 0.641278361210823, ""maximum"": 0.8128617403888703}","{""n"": 4, ""mean"": 0.32335980456391944, ""std"": 0.029049419528658894, ""ci95"": [0.27713569563910295, 0.3695839134887359], ""median"": 0.3215905141907683, ""minimum"": 0.29018444314777736, ""maximum"": 0.3600737467263639}","{""n"": 4, ""mean"": 0.32723609270412324, ""std"": 0.027885442054744806, ""ci95"": [0.2828641316849527, 0.37160805372329375], ""median"": 0.32443633814542916, ""minimum"": 0.29641788359494936, ""maximum"": 0.36365381093068516}","{""n"": 4, ""mean"": 0.018160000000000003, ""std"": 0.003267333265320002, ""ci95"": [0.012960943660825, 0.023359056339175004], ""median"": 0.01804000000000001, ""minimum"": 0.014379999999999993, ""maximum"": 0.02218}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07410748483338767, ""std"": 0.0013064128843545332, ""ci95"": [0.07202869040489275, 0.07618627926188258], ""median"": 0.07417796457910009, ""minimum"": 0.07245895392606247, ""maximum"": 0.075615056249288}"
C,snow,"{""n"": 4, ""mean"": 0.82593, ""std"": 0.00393647896814737, ""ci95"": [0.8196661835259952, 0.8321938164740049], ""median"": 0.82506, ""minimum"": 0.82236, ""maximum"": 0.83124}","{""n"": 4, ""mean"": 0.73134138931036, ""std"": 0.016656967537088174, ""ci95"": [0.7048364369125368, 0.7578463417081831], ""median"": 0.7319363932609557, ""minimum"": 0.7139278568172455, ""maximum"": 0.7475649139022827}","{""n"": 4, ""mean"": 0.10818793253310025, ""std"": 0.002750401303566936, ""ci95"": [0.10381143029980744, 0.11256443476639305], ""median"": 0.10788800884619355, ""minimum"": 0.10556788217902184, ""maximum"": 0.11140783026099206}","{""n"": 4, ""mean"": 0.2806592376112938, ""std"": 0.005370599759556694, ""ci95"": [0.27211341493031294, 0.28920506029227466], ""median"": 0.28149911993265153, ""minimum"": 0.2739607928752899, ""maximum"": 0.28567791770458223}","{""n"": 4, ""mean"": 0.20157117540351022, ""std"": 0.00738715000207572, ""ci95"": [0.18981657128816695, 0.21332577951885348], ""median"": 0.20169459208090268, ""minimum"": 0.19357716299706634, ""maximum"": 0.2093183544551692}","{""n"": 4, ""mean"": 0.2018678952655541, ""std"": 0.006997632783292113, ""ci95"": [0.1907330999670921, 0.2130026905640161], ""median"": 0.2022585027182952, ""minimum"": 0.19431775391607545, ""maximum"": 0.20863682170955056}","{""n"": 4, ""mean"": 0.013015000000000004, ""std"": 0.0008726014745193469, ""ci95"": [0.011626496330715157, 0.014403503669284851], ""median"": 0.012829999999999998, ""minimum"": 0.012240000000000006, ""maximum"": 0.014160000000000016}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07317738994754694, ""std"": 0.0008727241027185052, ""ci95"": [0.07178869114943243, 0.07456608874566145], ""median"": 0.07311789208899842, ""minimum"": 0.07218623191478035, ""maximum"": 0.07428754369741059}"
C,spatter,"{""n"": 4, ""mean"": 0.84728, ""std"": 0.006276240913158124, ""ci95"": [0.8372931001474231, 0.857266899852577], ""median"": 0.84961, ""minimum"": 0.83806, ""maximum"": 0.85184}","{""n"": 4, ""mean"": 0.6541176227772236, ""std"": 0.027890555781701055, ""ci95"": [0.609737524677324, 0.6984977208771233], ""median"": 0.6457546709513664, ""minimum"": 0.6316039788246155, ""maximum"": 0.693357170381546}","{""n"": 4, ""mean"": 0.09586513129591942, ""std"": 0.004602498529423658, ""ci95"": [0.08854152907589913, 0.10318873351593971], ""median"": 0.09433044637084007, ""minimum"": 0.0924017051589489, ""maximum"": 0.10239792728304863}","{""n"": 4, ""mean"": 0.24958592138946056, ""std"": 0.009476955283346177, ""ci95"": [0.23450597072604595, 0.2646658720528752], ""median"": 0.24591460029244422, ""minimum"": 0.24318817156791686, ""maximum"": 0.2633263134050369}","{""n"": 4, ""mean"": 0.1753659623652113, ""std"": 0.006502249214229782, ""ci95"": [0.16501943287127976, 0.18571249185914282], ""median"": 0.17292935025894024, ""minimum"": 0.170738913914492, ""maximum"": 0.18486623502847271}","{""n"": 4, ""mean"": 0.17415102972378066, ""std"": 0.005654251587179204, ""ci95"": [0.1651538536873976, 0.18314820576016372], ""median"": 0.1720845041415654, ""minimum"": 0.1701891746351245, ""maximum"": 0.18224593597686733}","{""n"": 4, ""mean"": 0.012450000000000011, ""std"": 0.0010683944340301832, ""ci95"": [0.010749946040417197, 0.014150053959582826], ""median"": 0.012260000000000004, ""minimum"": 0.011360000000000014, ""maximum"": 0.013920000000000021}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07216250117501247, ""std"": 0.0010364680437043691, ""ci95"": [0.07051324922689638, 0.07381175312312856], ""median"": 0.07201360960676245, ""minimum"": 0.07106430782243102, ""maximum"": 0.07355847766409397}"
C,speckle_noise,"{""n"": 4, ""mean"": 0.62354, ""std"": 0.03282995786371546, ""ci95"": [0.5713002109469904, 0.6757797890530096], ""median"": 0.63142, ""minimum"": 0.57786, ""maximum"": 0.65346}","{""n"": 4, ""mean"": 1.8626569533336164, ""std"": 0.2626984691688575, ""ci95"": [1.4446450670284852, 2.2806688396387473], ""median"": 1.782628319890499, ""minimum"": 1.6561190583133698, ""maximum"": 2.2292521152400973}","{""n"": 4, ""mean"": 0.26680625176109374, ""std"": 0.03770985314473605, ""ci95"": [0.20680146035445504, 0.32681104316773246], ""median"": 0.25452682363554835, ""minimum"": 0.23848076706677673, ""maximum"": 0.31969059270650146}","{""n"": 4, ""mean"": 0.6197059523070789, ""std"": 0.06807008754570433, ""ci95"": [0.5113912530019774, 0.7280206516121804], ""median"": 0.600282796161361, ""minimum"": 0.5632595555973052, ""maximum"": 0.7149986613082886}","{""n"": 4, ""mean"": 0.3218116182748598, ""std"": 0.021081543532728463, ""ci95"": [0.2882661781121493, 0.3553570584375704], ""median"": 0.31738687894340284, ""minimum"": 0.30126941847993993, ""maximum"": 0.35120329673269357}","{""n"": 4, ""mean"": 0.3244820945955603, ""std"": 0.020147306721077472, ""ci95"": [0.2924232336775994, 0.3565409555135212], ""median"": 0.3188209540611581, ""minimum"": 0.3068124624777795, ""maximum"": 0.35347400778214566}","{""n"": 4, ""mean"": 0.018554999999999995, ""std"": 0.0026501509390976256, ""ci95"": [0.014338018467711565, 0.022771981532288425], ""median"": 0.019059999999999987, ""minimum"": 0.01512, ""maximum"": 0.02098}","{""n"": 0, ""mean"": null, ""std"": null, ""ci95"": null, ""median"": null, ""minimum"": null, ""maximum"": null}","{""n"": 4, ""mean"": 0.07394348761524228, ""std"": 0.0011815636787042068, ""ci95"": [0.07206335613336713, 0.07582361909711742], ""median"": 0.07391654030018291, ""minimum"": 0.07253381517005811, ""maximum"": 0.07540705469054519}"
