model,seed,severity,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
A,1,1,0.8845263157894737,0.4677369690786851,0.06944367188081929,0.1846405886010904,0.14217047907093136,0.14217047907093136,,,
A,1,2,0.8248947368421052,0.7423925574936364,0.11037236899937454,0.2815144633583921,0.1969422133259809,0.1969422133259809,,,
A,1,3,0.7660684210526316,1.0338993695775145,0.15207796698071455,0.3777380194354214,0.24700052007954065,0.24700052007954065,,,
A,1,4,0.6965894736842105,1.3822766515154588,0.20103861310403598,0.48984312712205086,0.30594799547278184,0.30594799547278184,,,
A,1,5,0.5750842105263158,2.000664373400337,0.2859232838456568,0.6835974511058707,0.4101904371451481,0.4101904371451481,,,
A,2,1,0.8900894736842105,0.4459696352406552,0.06477231715274484,0.17609570459190169,0.14029550071056013,0.14029550071056013,,,
A,2,2,0.831178947368421,0.7183871592923214,0.10588714390373544,0.2725593293641743,0.19306955167375425,0.19306955167375425,,,
A,2,3,0.7747263157894737,1.0038778261344683,0.14745476855698386,0.3666915041082784,0.23662674650560242,0.23662674650560242,,,
A,2,4,0.7061631578947368,1.3435532366727527,0.19720450362272954,0.47826117963853637,0.2918278231544478,0.2918278231544478,,,
A,2,5,0.5847631578947369,1.9687874113785593,0.2862724629469608,0.6749841927440543,0.38537528238479096,0.38537528238479096,,,
A,3,1,0.8852263157894736,0.4671289477900455,0.068514374790772,0.1839075340634898,0.14196210177523058,0.14196210177523058,,,
A,3,2,0.8253789473684211,0.7445320932262822,0.11037991883629246,0.2822188523091768,0.19512993416271304,0.19512993416271304,,,
A,3,3,0.7664473684210527,1.0342523502770222,0.15320740400105715,0.37960953264393305,0.24233900558485957,0.24233900558485957,,,
A,3,4,0.6965631578947369,1.3829532867607317,0.202585191233064,0.49279480361467914,0.30144638519526956,0.30144638519526956,,,
A,3,5,0.5763105263157895,1.986401824539586,0.2874171319098065,0.6832183907935494,0.40417294368285267,0.40417294368285267,,,
A,4,1,0.8844578947368421,0.46034829372018576,0.06784097796858926,0.18355501421998305,0.14523095847719064,0.14523095847719064,,,
A,4,2,0.8244578947368421,0.729500549466359,0.10905052215009928,0.28116811961437527,0.20078565173139298,0.20078565173139298,,,
A,4,3,0.7659578947368421,1.007937869151662,0.15084467479029767,0.3769177109997278,0.24923172826282428,0.24923172826282428,,,
A,4,4,0.6930157894736843,1.361520080317557,0.20318470391042923,0.4946987517868806,0.3088995681774446,0.3088995681774446,,,
A,4,5,0.5684157894736842,2.0229484232325303,0.2974914191059376,0.6998199506696902,0.396357646498819,0.396357646498819,,,
A,5,1,0.8901210526315789,0.44434433402983764,0.06462385190921395,0.17506413090511372,0.13890728781471576,0.13890728781471576,,,
A,5,2,0.833121052631579,0.7016472814672872,0.10217857659231674,0.2674710552403801,0.195166725713542,0.195166725713542,,,
A,5,3,0.7728368421052632,0.9942998402956285,0.14472251842147427,0.3645471562865558,0.24627257552253615,0.24627257552253615,,,
A,5,4,0.6978105263157894,1.3889787817879728,0.19970299816578627,0.4869765694549209,0.3027382554367982,0.3027382554367982,,,
A,5,5,0.5737736842105263,2.071048206926647,0.2927548166081309,0.6901772532136817,0.3901981467255311,0.3901981467255311,,,
C,1,1,0.8875,0.4602818878904769,0.06625699511742905,0.18024733638122284,0.14387715138687912,0.1437670162391136,0.009126315789473684,,0.07253726095166242
C,1,2,0.8301421052631579,0.7198639905239407,0.10475846723600438,0.27277452605460817,0.1990237402046241,0.19877123894436582,0.013336842105263168,,0.07392394162516158
C,1,3,0.7743894736842105,0.9804638866801011,0.14377406467262066,0.36201697896671925,0.2481110991126016,0.24812434654554305,0.015647368421052632,,0.07516352975377225
