comparison,n,mean,std,ci95,median,minimum,maximum,individual_differences,paired_t_test,positive_seeds,negative_seeds,zero_seeds,standardized_paired_effect
C-T1-A,3,-0.29333333333333433,0.3194265695482082,"[-1.0868329208732446, 0.5001662542065759]",-0.41999999999999815,-0.5300000000000082,0.07000000000000339,"[{""seed"": 1, ""difference_pp"": 0.07000000000000339}, {""seed"": 2, ""difference_pp"": -0.5300000000000082}, {""seed"": 3, ""difference_pp"": -0.41999999999999815}]","{""statistic"": -1.590563482572774, ""pvalue"": 0.2526791928061657, ""reason"": null}",1,2,0,-0.9183122548265796
C-T3-C-T1,3,0.2666666666666632,0.11015141094572066,"[-0.006964607262718636, 0.5402979405960451]",0.26000000000000467,0.15999999999999348,0.37999999999999146,"[{""seed"": 1, ""difference_pp"": 0.15999999999999348}, {""seed"": 2, ""difference_pp"": 0.26000000000000467}, {""seed"": 3, ""difference_pp"": 0.37999999999999146}]","{""statistic"": 4.193139346887671, ""pvalue"": 0.05244126064173145, ""reason"": null}",3,0,0,2.4209101306752085
D1-T3-C-T1,3,0.13333333333333344,0.15502687938978482,"[-0.25177478408902865, 0.5184414507556955]",0.1300000000000079,-0.0200000000000089,0.29000000000000137,"[{""seed"": 1, ""difference_pp"": -0.0200000000000089}, {""seed"": 2, ""difference_pp"": 0.1300000000000079}, {""seed"": 3, ""difference_pp"": 0.29000000000000137}]","{""statistic"": 1.4896778454476705, ""pvalue"": 0.27476227570611583, ""reason"": null}",2,1,0,0.8600659050750341
