id,model,seed,T,dataset,status
cifar-100-A-T0-seed1,A,1,0,CIFAR-100,completed
cifar-100-A-T0-seed2,A,2,0,CIFAR-100,completed
cifar-100-A-T0-seed3,A,3,0,CIFAR-100,completed
cifar-100-C-T3-seed1,C,1,3,CIFAR-100,failed
cifar-100-C-T3-seed2,C,2,3,CIFAR-100,failed
cifar-100-C-T3-seed3,C,3,3,CIFAR-100,completed
cifar-100-D1-T3-seed1,D1,1,3,CIFAR-100,completed
cifar-100-D1-T3-seed2,D1,2,3,CIFAR-100,completed
cifar-100-D1-T3-seed3,D1,3,3,CIFAR-100,completed
