model,seed,status,accuracy,NLL,ECE,Brier,parameters,latency_ms
A,1,completed,77.7,0.9021940015792846,0.047573425992578265,0.3192072696208954,11220132,0.05966495961183682
A,2,completed,77.81,0.9020868453979493,0.04413742331713438,0.31628426117897035,11220132,0.05953358760161791
A,3,completed,77.83,0.9133268751144409,0.05012785442844033,0.3196427973031998,11220132,0.05944538780604489
C,3,completed,77.34,0.9191459184646606,0.04828338041193783,0.32259983024597166,11488932,0.06388916796422564
D1,1,completed,76.71,1.1814856852531432,0.15678030689954758,0.38103888459205626,11488932,0.06546281001647003
D1,2,completed,77.27000000000001,1.1507243175506592,0.15502575722932815,0.37528043761253355,11488932,0.06548137280042284
D1,3,completed,76.06,1.213788801765442,0.1651284833982587,0.39163809757232665,11488932,0.06546072040800936
